ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001744057,,,Телефонный центр,4,817240,10000011206,,2014-03-03 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-02-28 10:40:31 UTC,
10001744057,,,Телефонный центр,4,817241,10000011206,,2014-03-03 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2014-02-28 10:40:31 UTC,
10001754582,,,Телефонный центр,4,817267,10000013633,,2014-03-02 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-28 10:40:38 UTC,
10001754582,,,Телефонный центр,4,817268,10000013633,,2014-03-02 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-28 10:40:38 UTC,
10001754582,,,Телефонный центр,4,817269,10000013633,,2014-03-02 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",2,баллы,2014-02-28 10:40:38 UTC,
10001754582,,,Телефонный центр,4,817270,10000013633,,2014-03-02 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2014-02-28 10:40:39 UTC,
10001754582,,,Телефонный центр,4,817271,10000013633,,2014-03-02 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2014-02-28 10:40:39 UTC,
10001756470,,,Телефонный центр,4,817363,10000012269,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-28 10:41:03 UTC,
10001756470,,,Телефонный центр,4,817364,10000012269,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,2,баллы,2014-02-28 10:41:03 UTC,
10001756470,,,Телефонный центр,4,817365,10000012269,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",2,баллы,2014-02-28 10:41:03 UTC,
10001756470,,,Телефонный центр,4,817366,10000012269,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2014-02-28 10:41:03 UTC,
10001756470,,,Телефонный центр,4,817367,10000012269,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2014-02-28 10:41:04 UTC,
10001744165,,,Телефонный центр,4,817405,10000011206,,2014-03-03 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-28 10:41:14 UTC,
10001744165,,,Телефонный центр,4,817406,10000011206,,2014-03-03 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-28 10:41:14 UTC,
10001744165,,,Телефонный центр,4,817407,10000011206,,2014-03-03 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2014-02-28 10:41:14 UTC,
10001744165,,,Телефонный центр,4,817408,10000011206,,2014-03-03 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2014-02-28 10:41:14 UTC,
10001744165,,,Телефонный центр,4,817409,10000011206,,2014-03-03 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-28 10:41:15 UTC,
10001741013,,,Телефонный центр,4,817520,10000011206,,2014-03-01 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2014-02-28 10:41:45 UTC,
10001741013,,,Телефонный центр,4,817521,10000011206,,2014-03-01 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-28 10:41:45 UTC,
10001741013,,,Телефонный центр,4,817522,10000011206,,2014-03-01 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-28 10:41:45 UTC,
10001741013,,,Телефонный центр,4,817523,10000011206,,2014-03-01 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-02-28 10:41:45 UTC,
10001741013,,,Телефонный центр,4,817524,10000011206,,2014-03-01 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2014-02-28 10:41:46 UTC,
10002700084,,,Телефонный центр,4,817563,10000011206,,2014-03-02 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2014-02-28 10:55:43 UTC,
10002700084,,,Телефонный центр,4,817564,10000011206,,2014-03-02 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-02-28 10:55:44 UTC,
10002700084,,,Телефонный центр,4,817565,10000011206,,2014-03-02 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2014-02-28 10:55:44 UTC,
10002700084,,,Телефонный центр,4,817566,10000011206,,2014-03-02 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-28 10:55:44 UTC,
10002700084,,,Телефонный центр,4,817567,10000011206,,2014-03-02 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-28 10:55:44 UTC,
10002699950,,,Телефонный центр,4,817575,10000011206,,2014-03-04 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-02-28 10:55:46 UTC,
10002699950,,,Телефонный центр,4,817576,10000011206,,2014-03-04 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-02-28 10:55:46 UTC,
10002699950,,,Телефонный центр,4,817577,10000011206,,2014-03-04 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-02-28 10:55:46 UTC,
10002699950,,,Телефонный центр,4,817578,10000011206,,2014-03-04 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-02-28 10:55:46 UTC,
10002699950,,,Телефонный центр,4,817579,10000011206,,2014-03-04 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2014-02-28 10:55:46 UTC,
