ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10000001022,Федеральная миграционная служба,,Виджеты,3,501958,10000002951,Выдача иностранным гражданам и лицам без гражданства разрешения на временное проживание в Российской Федерации ,2013-11-11 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-11-11 13:34:37 UTC,"Добрый день! Я-гражданка России, мой муж-гражданин Сербии. Подавали заявление на разрешение на временное проживание мужа в России. Мало того, что не имеет значения, что мы женаты и ждем ребенка, т.к. подача заявления осуществляется на общих правах и никакого упрощенного или ускоренного режима, так и работает еще на прием всего 2 окна (1 и 2) в УФМС на Ленинском проспекте 123 для всех абсолютно граждан, желающих подать на вид на жительство, разрешение на работу, временное разрешение на проживание, гражданство и т.п. Очереди ужасные. Первый раз приехали с мужем 8 ноября 2013, хотели пройти без очереди, т.к. я уже с большим животом, а там даже посидеть негде, нас вытолкали с кулаками оттуда и со словами, что люди здесь с 4-х утра ждут и по 3 раза подаются, т.к. сотрудники их отправляют, указывая на ошибки, вплоть до запятой...Принимают по 1 человеку в 30-40 минут. В итоге, сегодня 11 ноября 2013, простояв в очереди с раннего утра при условии, что график приема на сегодня с 14:00 до 20:00 и зайдя с полным пакетом документов в 16:20, мой муж был отправлен ""восвояси"", т.к. ему было сказано, что у него нет мед.справок подтверждающих отсутствие у него заболевания наркоманией и инфекционных заболеваний, которые представляют опасность для окружающих, предусмотренных перечнем, утвержденным Правительством Российской Федерации, а также об отсутствии у него заболевания, вызываемого вирусом иммунодефицита человека (ВИЧ-инфекции). НО!!!!!!!!!! все документы были собраны в соответствии с сайтом http://www.fmsmoscow.ru/ ВОТ ВЫДЕРЖКА ИЗ ПЕРЕЧНЯ ДОКУМЕНТОВ, в которой черным по белому написано, что справки предоставляются в течении 30 дней после подачи основного пакета документов: Документы, подаваемые для получения разрешения на временное проживание иностранным гражданином, прибывшим в Российскую Федерацию без визы без учета квоты

Документы подаются лично иностранным гражданином, законно находящимся на территории РФ

заявление о выдаче разрешения на временное проживание - 2 экземпляра;
4 фотографии 35 х 45 мм;
документ, удостоверяющий личность и гражданство - нотариально заверенный перевод паспорта (срок действия – не менее 6 месяцев);
копия миграционной карты с отметкой пограничного контроля о въезде данного иностранного гражданина в Российскую Федерацию или с отметкой территориального органа федерального органа исполнительной власти в сфере миграции о выдаче данному иностранному гражданину указанной миграционной карты;
копия уведомления о постановке на миграционный учет;
квитанция об оплате государственной пошлины за выдачу разрешения на временное проживания - 1000 рублей
В течение 30 суток со дня подачи заявления о выдаче разрешения на временное проживание представляет:

документы, подтверждающие отсутствие у него заболевания наркоманией и инфекционных заболеваний, которые представляют опасность для окружающих, предусмотренных перечнем, утвержденным Правительством Российской Федерации, а также сертификат об отсутствии у него заболевания, вызываемого вирусом иммунодефицита человека (ВИЧ-инфекции), на бумажном носителе либо в форме электронных документов в случае подачи заявления о выдаче разрешения на временное проживание в электронной форме;
И ИЗ АНКЕТЫ:
Обязуюсь   в   течение  30   дней  представить  в     
(наименование территориального органа

Федеральной миграционной службы)
Сертификат  об  отсутствии  у  меня  заболевания,   вызываемого    вирусом  иммунодефицита      человека     (ВИЧ-инфекции),     а    также    наркомании и инфекционных  заболеваний,    представляющих    опасность      для     окружающих, перечень    которых    утвержден    Правительством    Российской     Федерации,     а     также в течение 1 года с даты моего въезда в Российскую Федерацию – свидетельство (уведомление) о постановке на учет в налоговом органе.
Соответственно, судя по всему, моему мужу придется еще ни раз отстоять эти сумасшедшие очереди...
ПРОСЬБА РАЗЪЯСНИТЬ, В ЧЕМ ПРИЧИНА ТАКОГО БЕЗОБРАЗИЯ??? "
10000001022,Федеральная миграционная служба,,Виджеты,3,501959,10000002951,Выдача иностранным гражданам и лицам без гражданства разрешения на временное проживание в Российской Федерации ,2013-11-11 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-11 13:34:37 UTC,"Добрый день! Я-гражданка России, мой муж-гражданин Сербии. Подавали заявление на разрешение на временное проживание мужа в России. Мало того, что не имеет значения, что мы женаты и ждем ребенка, т.к. подача заявления осуществляется на общих правах и никакого упрощенного или ускоренного режима, так и работает еще на прием всего 2 окна (1 и 2) в УФМС на Ленинском проспекте 123 для всех абсолютно граждан, желающих подать на вид на жительство, разрешение на работу, временное разрешение на проживание, гражданство и т.п. Очереди ужасные. Первый раз приехали с мужем 8 ноября 2013, хотели пройти без очереди, т.к. я уже с большим животом, а там даже посидеть негде, нас вытолкали с кулаками оттуда и со словами, что люди здесь с 4-х утра ждут и по 3 раза подаются, т.к. сотрудники их отправляют, указывая на ошибки, вплоть до запятой...Принимают по 1 человеку в 30-40 минут. В итоге, сегодня 11 ноября 2013, простояв в очереди с раннего утра при условии, что график приема на сегодня с 14:00 до 20:00 и зайдя с полным пакетом документов в 16:20, мой муж был отправлен ""восвояси"", т.к. ему было сказано, что у него нет мед.справок подтверждающих отсутствие у него заболевания наркоманией и инфекционных заболеваний, которые представляют опасность для окружающих, предусмотренных перечнем, утвержденным Правительством Российской Федерации, а также об отсутствии у него заболевания, вызываемого вирусом иммунодефицита человека (ВИЧ-инфекции). НО!!!!!!!!!! все документы были собраны в соответствии с сайтом http://www.fmsmoscow.ru/ ВОТ ВЫДЕРЖКА ИЗ ПЕРЕЧНЯ ДОКУМЕНТОВ, в которой черным по белому написано, что справки предоставляются в течении 30 дней после подачи основного пакета документов: Документы, подаваемые для получения разрешения на временное проживание иностранным гражданином, прибывшим в Российскую Федерацию без визы без учета квоты

Документы подаются лично иностранным гражданином, законно находящимся на территории РФ

заявление о выдаче разрешения на временное проживание - 2 экземпляра;
4 фотографии 35 х 45 мм;
документ, удостоверяющий личность и гражданство - нотариально заверенный перевод паспорта (срок действия – не менее 6 месяцев);
копия миграционной карты с отметкой пограничного контроля о въезде данного иностранного гражданина в Российскую Федерацию или с отметкой территориального органа федерального органа исполнительной власти в сфере миграции о выдаче данному иностранному гражданину указанной миграционной карты;
копия уведомления о постановке на миграционный учет;
квитанция об оплате государственной пошлины за выдачу разрешения на временное проживания - 1000 рублей
В течение 30 суток со дня подачи заявления о выдаче разрешения на временное проживание представляет:

документы, подтверждающие отсутствие у него заболевания наркоманией и инфекционных заболеваний, которые представляют опасность для окружающих, предусмотренных перечнем, утвержденным Правительством Российской Федерации, а также сертификат об отсутствии у него заболевания, вызываемого вирусом иммунодефицита человека (ВИЧ-инфекции), на бумажном носителе либо в форме электронных документов в случае подачи заявления о выдаче разрешения на временное проживание в электронной форме;
И ИЗ АНКЕТЫ:
Обязуюсь   в   течение  30   дней  представить  в     
(наименование территориального органа

Федеральной миграционной службы)
Сертификат  об  отсутствии  у  меня  заболевания,   вызываемого    вирусом  иммунодефицита      человека     (ВИЧ-инфекции),     а    также    наркомании и инфекционных  заболеваний,    представляющих    опасность      для     окружающих, перечень    которых    утвержден    Правительством    Российской     Федерации,     а     также в течение 1 года с даты моего въезда в Российскую Федерацию – свидетельство (уведомление) о постановке на учет в налоговом органе.
Соответственно, судя по всему, моему мужу придется еще ни раз отстоять эти сумасшедшие очереди...
ПРОСЬБА РАЗЪЯСНИТЬ, В ЧЕМ ПРИЧИНА ТАКОГО БЕЗОБРАЗИЯ??? "
10001298607,Отдел УФМС России по Московской области в Ногинском районе,46000000000,Вашконтроль.ру,2,501960,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2013-11-09 00:00:00 UTC,36,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-11 13:48:16 UTC,"Возмутительное отношение! Разрешают подавать документы только для тех, кто успел взять талон. А кто не смог приехать к 8ми и занять очередь, чтобы получить талон, может даже не рассчитывать, что сдаст документы. Живой очереди нет! Интересно на каком основании! Наверное, на том основании, что работать никто не хочет! Талонов мало. На сайте написано, что они работают без обеда! Ровно в 13.00 всех стали выгонять из помещения, потому что у сотрудников начался обед! Вообщем, если человек работает и не может приехать к 8ми, чтобы получить талон, то может и не расчитывать на получение загранпаспорта. Сотрудники хамят! Особенно тот, что помоложе. Вообщем творится полный бардак. Как хотят, так и работают!!!!!!! Ужас!!!!!"
10001298607,Отдел УФМС России по Московской области в Ногинском районе,46000000000,Вашконтроль.ру,2,501961,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2013-11-09 00:00:00 UTC,37,"Время ожидания ответа на подачу заявления, время предоставления государственной услуги",1,баллы,2013-11-11 13:48:16 UTC,"Возмутительное отношение! Разрешают подавать документы только для тех, кто успел взять талон. А кто не смог приехать к 8ми и занять очередь, чтобы получить талон, может даже не рассчитывать, что сдаст документы. Живой очереди нет! Интересно на каком основании! Наверное, на том основании, что работать никто не хочет! Талонов мало. На сайте написано, что они работают без обеда! Ровно в 13.00 всех стали выгонять из помещения, потому что у сотрудников начался обед! Вообщем, если человек работает и не может приехать к 8ми, чтобы получить талон, то может и не расчитывать на получение загранпаспорта. Сотрудники хамят! Особенно тот, что помоложе. Вообщем творится полный бардак. Как хотят, так и работают!!!!!!! Ужас!!!!!"
10001298607,Отдел УФМС России по Московской области в Ногинском районе,46000000000,Вашконтроль.ру,2,501962,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2013-11-09 00:00:00 UTC,38,"Удобство процедур предоставления государственной услуги, включая процедуры и доступность информации при подаче заявления, записи на прием, подачи заявления, оплаты обязательных платежей, информирования заявителя о ходе предоставления госуслуги",1,баллы,2013-11-11 13:48:16 UTC,"Возмутительное отношение! Разрешают подавать документы только для тех, кто успел взять талон. А кто не смог приехать к 8ми и занять очередь, чтобы получить талон, может даже не рассчитывать, что сдаст документы. Живой очереди нет! Интересно на каком основании! Наверное, на том основании, что работать никто не хочет! Талонов мало. На сайте написано, что они работают без обеда! Ровно в 13.00 всех стали выгонять из помещения, потому что у сотрудников начался обед! Вообщем, если человек работает и не может приехать к 8ми, чтобы получить талон, то может и не расчитывать на получение загранпаспорта. Сотрудники хамят! Особенно тот, что помоложе. Вообщем творится полный бардак. Как хотят, так и работают!!!!!!! Ужас!!!!!"
10001753576,,,Телефонный центр,4,502058,10000011206,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-11 14:20:57 UTC,
10001753576,,,Телефонный центр,4,502059,10000011206,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-11-11 14:20:57 UTC,
10001753576,,,Телефонный центр,4,502060,10000011206,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-11-11 14:20:57 UTC,
10001753576,,,Телефонный центр,4,502061,10000011206,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-11-11 14:20:57 UTC,
10001753576,,,Телефонный центр,4,502062,10000011206,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-11 14:20:58 UTC,
